,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19
niepelti,-0.5422999262809753,1.0112429857254028,-0.6255996823310852,0.9012584090232849,-0.5256533026695251,0.725307285785675,-0.4650975167751312,0.5986165404319763,-0.4134926497936249,0.36849725246429443,-0.30548998713493347,0.020574647933244705,-0.08743202686309814,-0.3980465829372406,0.1724039614200592,-0.5555090308189392,0.47670668363571167,-0.5658186078071594,0.6674526929855347,-0.5381473898887634,0.797850489616394,-0.5038793087005615,0.9090004563331604,-0.46230411529541016,1.0102823972702026,-0.37109899520874023,0.994067370891571,-0.2828543484210968,0.8589962124824524,-0.11077584326267242,0.5328453779220581,0.2957359552383423,0.3918759822845459,0.6937915682792664,0.18266376852989197,0.9680874347686768,-0.12137745320796967,1.0923073291778564,-0.3128055930137634,1.0852115154266357
theseus,-0.7598137855529785,1.0299452543258667,-0.8147338628768921,0.9466851949691772,-0.707978367805481,0.7591942548751831,-0.6236166954040527,0.6078540086746216,-0.5199719071388245,0.3422309458255768,-0.39248496294021606,0.015370186418294907,-0.28472083806991577,-0.2951574921607971,-0.16618286073207855,-0.4244745969772339,0.007349139079451561,-0.4667665362358093,0.17342886328697205,-0.47800758481025696,0.34552228450775146,-0.4720277786254883,0.5480698943138123,-0.44155848026275635,0.7974057197570801,-0.338024377822876,0.8287523984909058,-0.2459295243024826,0.7198023200035095,-0.09969102591276169,0.4540519118309021,0.18635153770446777,0.2726856470108032,0.5017069578170776,-0.03421030938625336,0.7756729125976562,-0.39590829610824585,0.9806110858917236,-0.5763365030288696,1.0363723039627075
hercules,-0.9588680267333984,0.7800379395484924,-1.006045937538147,0.6666253805160522,-0.8948726654052734,0.484953373670578,-0.802846372127533,0.40004581212997437,-0.7337023615837097,0.2428778111934662,-0.7286473512649536,-0.007852346636354923,-0.6794792413711548,-0.27878445386886597,-0.5263761878013611,-0.33345451951026917,-0.2321176677942276,-0.22254954278469086,0.1068725436925888,-0.13904555141925812,0.4355211853981018,-0.1588798463344574,0.7429363131523132,-0.24827270209789276,1.0177085399627686,-0.3048127591609955,1.053565502166748,-0.25004804134368896,0.9509874582290649,-0.07746165245771408,0.500656247138977,0.42401182651519775,0.12927865982055664,0.8816875219345093,-0.23470881581306458,1.1021103858947754,-0.6217760443687439,0.9844748377799988,-0.7938178181648254,0.8760347366333008
amphitryon,-0.872099757194519,0.7556933760643005,-0.9244095683097839,0.6330670714378357,-0.6993348598480225,0.28775426745414734,-0.5074810981750488,0.0843987762928009,-0.32962822914123535,-0.14514577388763428,-0.25392434000968933,-0.3413991332054138,-0.16272515058517456,-0.5104866027832031,0.0346195325255394,-0.5768195390701294,0.3261474370956421,-0.584617555141449,0.557409942150116,-0.5730168223381042,0.7456313371658325,-0.5541754961013794,0.9141908884048462,-0.5356538891792297,1.0883398056030273,-0.48208215832710266,1.1208590269088745,-0.42195266485214233,1.0742202997207642,-0.3221658766269684,0.8428013920783997,-0.16589076817035675,0.5738495588302612,-0.006778400391340256,0.21184131503105164,0.24810579419136047,-0.3453347682952881,0.6054884195327759,-0.6264637112617493,0.7311290502548218
telemachus,-0.672663688659668,0.5389612317085266,-0.7217740416526794,0.40402305126190186,-0.625583291053772,0.005430995486676693,-0.5378021597862244,-0.19934284687042236,-0.4353073835372925,-0.4063778221607208,-0.3758930563926697,-0.5811440348625183,-0.3113669455051422,-0.7246307134628296,-0.1833781898021698,-0.7654483914375305,0.015853777527809143,-0.7234816551208496,0.2214244306087494,-0.6625944375991821,0.4749249219894409,-0.6382372975349426,0.7990304231643677,-0.6593613624572754,1.1511874198913574,-0.5796474814414978,1.2055045366287231,-0.49303606152534485,1.1246157884597778,-0.3686274290084839,0.6542381644248962,-0.13189975917339325,0.1902877390384674,0.08014024794101715,-0.07475541532039642,0.3400336802005768,-0.33570677042007446,0.5144193768501282,-0.4937571883201599,0.5413172841072083
