,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19
niepelti,-1.2211153507232666,0.6801561117172241,-1.3156825304031372,0.46537917852401733,-1.4673950672149658,-0.15980879962444305,-1.512748122215271,-0.38376086950302124,-1.5086522102355957,-0.563785970211029,-1.5038243532180786,-0.6999636888504028,-1.4468406438827515,-0.8070881366729736,-1.283013939857483,-0.8206257820129395,-0.7401034832000732,-0.5981085896492004,0.14103282988071442,-0.302312970161438,0.7014286518096924,-0.49632370471954346,1.4344737529754639,-0.27762773633003235,2.0131614208221436,-0.09726917743682861,2.087766647338867,-0.028702281415462494,2.0165019035339355,0.08089309185743332,1.137338638305664,-0.18074879050254822,0.7573838233947754,-0.0010854005813598633,0.40711575746536255,0.5301410555839539,-0.6813274621963501,0.7618513703346252,-1.0134155750274658,0.7216036319732666
theseus,-1.153052806854248,1.0488216876983643,-1.215448021888733,1.0105676651000977,-1.2356536388397217,0.8889465928077698,-1.1989258527755737,0.8336235880851746,-1.1426219940185547,0.7599973678588867,-1.0858078002929688,0.6461138129234314,-0.9703267216682434,0.4844454526901245,-0.8166085481643677,0.4531596302986145,-0.5646081566810608,0.512133002281189,-0.1732282191514969,0.40350377559661865,0.5791120529174805,0.037053897976875305,1.5191795825958252,-0.032503172755241394,1.7418015003204346,-0.07512639462947845,1.769225001335144,-0.011555187404155731,1.7173980474472046,0.14311513304710388,1.052337884902954,0.4262601435184479,0.01935407519340515,0.7568275928497314,-0.5865603089332581,0.854047954082489,-0.9634855389595032,0.9723028540611267,-1.062522530555725,1.0169826745986938
hercules,-0.7866039276123047,0.4004395008087158,-0.812771201133728,0.3292020857334137,-0.6614667773246765,0.08864904940128326,-0.5584617257118225,-0.09557438641786575,-0.5320472717285156,-0.42772507667541504,-0.6429188251495361,-0.8589943647384644,-0.6701585054397583,-1.1429328918457031,-0.5282163619995117,-1.1868925094604492,-0.25894907116889954,-0.9419199228286743,-0.1063254326581955,-0.536930501461029,0.02126169390976429,-0.31142672896385193,0.12728537619113922,-0.30209529399871826,0.29776081442832947,-0.3437952399253845,0.3368383049964905,-0.2979874014854431,0.26349931955337524,-0.1413632333278656,0.036383792757987976,0.30388346314430237,-0.28499650955200195,0.6829330325126648,-0.49813351035118103,0.6050931215286255,-0.6130507588386536,0.47005996108055115,-0.6862489581108093,0.4260162115097046
amphitryon,-2.1030259132385254,0.7882366180419922,-2.2607479095458984,0.6699748635292053,-2.2578530311584473,0.4449681043624878,-2.090843439102173,0.3238883912563324,-1.7268226146697998,0.051435425877571106,-1.3454257249832153,-0.43530139327049255,-1.1756041049957275,-0.9084895849227905,-1.0823723077774048,-0.9438221454620361,-1.0297493934631348,-0.545708954334259,-0.7727900743484497,-0.24463947117328644,0.44441571831703186,-0.43883129954338074,1.3708927631378174,-0.23643651604652405,2.1878552436828613,-0.39073219895362854,2.2398219108581543,-0.3378704786300659,2.1193954944610596,-0.2061813324689865,1.094081997871399,0.29171937704086304,0.5928566455841064,0.2757117450237274,-0.14342239499092102,0.29683738946914673,-1.1813496351242065,0.8155456185340881,-1.7586039304733276,0.8417701721191406
telemachus,-0.35902896523475647,0.9333111643791199,-0.822294294834137,0.7093567252159119,-1.8141776323318481,0.008270703256130219,-1.9066609144210815,-0.14492547512054443,-1.8391687870025635,-0.28679779171943665,-1.586787223815918,-0.4436650574207306,-1.2423521280288696,-0.7919009923934937,-1.0506036281585693,-0.8597506284713745,-0.9230928421020508,-0.4823369085788727,-0.24699950218200684,0.26491779088974,0.18694213032722473,0.3257804811000824,0.9657410383224487,-0.19782114028930664,1.4904452562332153,-0.2877265214920044,1.5351781845092773,-0.23661580681800842,1.4167189598083496,-0.1141989678144455,0.6897287964820862,0.4697730243206024,0.3381578326225281,0.8536098003387451,0.19970044493675232,1.0709995031356812,0.002699233591556549,1.1165740489959717,-0.13631963729858398,1.0563079118728638
